[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (44ms, ?B)
[2026-08-25T22:32:08.749Z] GET http://localhost:3000/_next/static/chunks/_0rwev8y._.js → 200 (83ms, 646B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/_05-whcf._.js → 200 (81ms, ?B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/src_0xr-_6v._.js → 200 (82ms, ?B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40hugeicons_1agalyw._.js → 200 (82ms, ?B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/src_1jlv_yt._.js → 200 (82ms, 23004B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40hugeicons_core-free-icons_dist_esm_0bk-x8h._.js → 200 (82ms, 35817B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/node_modules_zod_v4_06yv92s._.js → 200 (101ms, 100637B)
[2026-08-25T22:32:08.750Z] GET http://localhost:3000/_next/static/chunks/node_modules_0-lunru._.js → 200 (82ms, 22937B)
[2026-08-25T22:32:08.780Z] GET http://localhost:3000/fonts/inter/InterVariable.woff2 → 304 (2ms, ?B)
[2026-08-25T22:32:08.780Z] GET http://localhost:3000/fonts/saans/SaansVF.ttf → 304 (2ms, ?B)
[2026-08-25T22:32:08.830Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (11ms, ?B)
[2026-08-25T22:32:08.831Z] GET http://localhost:3000/_next/static/chunks/src_1g-vkj3._.js → 200 (12ms, ?B)
[2026-08-25T22:32:08.831Z] GET http://localhost:3000/_next/static/chunks/node_modules_04pgpr-._.js → 200 (19ms, ?B)
[2026-08-25T22:32:25.852Z] GET http://localhost:3000/ → 200 (60ms, 15258B)
[2026-08-25T22:32:25.914Z] GET http://localhost:3000/_next/static/chunks/src_app_globals_162hn9o.css → 200 (2ms, ?B)
[2026-08-25T22:32:25.915Z] GET http://localhost:3000/icon.svg → 304 (4ms, ?B)
[2026-08-25T22:32:25.915Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1di75ot._.js → 200 (21ms, ?B)
[2026-08-25T22:32:25.915Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_090k2jm.js → 200 (31ms, ?B)
[2026-08-25T22:32:25.915Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (30ms, ?B)
[2026-08-25T22:32:25.915Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (21ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (20ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js → 200 (30ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js → 200 (21ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (30ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (30ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/turbopack-_08bm286._.js → 200 (31ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/_219uq1s._.js → 200 (31ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/_05-whcf._.js → 200 (32ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/src_0xr-_6v._.js → 200 (32ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40hugeicons_1agalyw._.js → 200 (84ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/src_1jofyj4._.js → 200 (82ms, ?B)
[2026-08-25T22:32:25.916Z] GET http://localhost:3000/_next/static/chunks/node_modules_1snirfb._.js → 200 (88ms, ?B)
[2026-08-25T22:32:25.936Z] GET http://localhost:3000/fonts/inter/InterVariable.woff2 → 304 (1ms, ?B)
[2026-08-25T22:32:25.936Z] GET http://localhost:3000/fonts/saans/SaansVF.ttf → 304 (9ms, ?B)
[2026-08-25T22:32:25.995Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (20ms, ?B)
